SPECIMEN #,SPECIES,SUBSPECIES,SEX,SKULL LENGTH,CRANIAL WIDTH,NEUROCR HT,FACIAL HEIGHT,PALATE LENGTH,PALATE WIDTH,COMMENTS
USNM 241197,Callithrix chrysoleuca,,F,45.98,21.38,23.37,14.59,14.82,16.24,
USNM 518552,Callithrix aurita,,M,0.00,46.90,24.76,14.56,15.56,15.86,
USNM 303323,Callimico goeldii,,M,52.43,24.00,27.74,17.37,15.02,19.08,
USNM 239462,Callithrix argentata,,F,44.03,19.36,24.82,14.98,14.86,15.30,
USNM 239458,Callithrix argentata,,F,42.84,19.06,23.96,13.18,13.89,15.14,
USNM 239463,Callithrix argentata,,F,44.81,20.36,25.67,14.96,14.14,15.55,
USNM 239459,Callithrix argentata,,F,44.42,19.71,25.54,14.51,14.46,14.96,
USNM 239461,Callithrix argentata,,F,43.31,19.89,23.62,13.76,14.08,14.91,
USNM 461728,Callithrix humeralifera,humeralifera,F,45.68,21.24,26.21,14.30,15.08,16.08,
USNM 461729,Callithrix humeralifera,humeralifera,M,46.26,20.81,25.05,16.21,13.98,16.22,
USNM 461726,Callithrix humeralifera,humeralifera,M,44.47,20.22,25.75,14.24,14.46,16.24,
USNM 461727,Callithrix humeralifera,humeralifera,F,47.56,23.48,25.74,16.77,15.51,16.87,
USNM 518556,Callithrix jacchus,,M,44.68,21.71,23.75,13.86,14.75,15.19,
USNM 518557,Callithrix jacchus,,F,47.41,23.99,25.64,16.63,15.87,16.21,
USNM 398846,Callithrix jacchus,,F,44.84,19.47,25.30,14.31,15.07,14.99,
USNM 399040,Callithrix jacchus,,F,42.57,20.19,23.20,13.04,12.58,13.55,
USNM 518554,Callithrix jacchus,,F,44.88,20.82,23.99,12.58,14.60,14.82,
USNM 518555,Callithrix jacchus,jacchus,M,43.55,20.48,24.23,12.77,14.73,14.96,
USNM 518553,Callithrix jacchus,geoffroyi,F,46.03,21.18,24.87,16.10,14.85,16.00,
USNM 518567,Callithrix jacchus,jordani,F,43.55,20.37,23.57,15.64,14.62,14.60,
USNM 518564,Callithrix jacchus,jordani,F,44.34,21.37,25.04,13.40,13.43,14.25,
USNM 256771,Callithrix jacchus,,M,44.50,21.82,22.55,13.92,14.85,13.79,
USNM 399032,Callithrix jacchus,jacchus,M,44.31,20.49,23.76,14.87,14.30,15.16,
USNM 518560,Callithrix jacchus,jordani,F,43.18,19.04,23.03,13.74,14.24,14.59,
USNM 397241,Callithrix jacchus,,F,44.12,20.01,24.88,13.82,13.69,15.24,
USNM 398851,Callithrix jacchus,,M,44.05,20.13,24.42,13.27,14.46,14.72,
USNM 398847,Callithrix jacchus,,F,44.46,19.64,23.84,13.84,13.70,14.87,
USNM 397248,Callithrix jacchus,,M,43.20,20.94,23.94,12.59,14.32,14.70,
USNM 399034,Callithrix jacchus,jacchus,M,44.96,21.33,25.17,14.37,14.88,14.86,frontonasal suture partially obliterated
USNM 503885,Callithrix jacchus,jacchus,M,42.98,20.53,22.83,13.09,14.01,14.29,
USNM 399080,Callithrix jacchus,,M,44.72,20.27,25.03,13.77,13.00,14.79,
USNM 397251,Callithrix jacchus,,F,44.48,19.65,25.19,13.85,12.74,14.42,
USNM 399036,Callithrix jacchus,jacchus,F,46.10,21.39,22.91,14.23,14.13,15.19,frontonasal suture partially obliterated
USNM 399037,Callithrix jacchus,jacchus,M,44.49,21.24,24.81,14.77,13.89,13.86,
USNM 399035,Callithrix jacchus,jacchus,?,44.07,20.40,22.74,13.38,13.40,14.35,
USNM 518558,Callithrix jacchus,jordani,M,45.62,20.66,24.44,13.64,15.57,14.90,
USNM 518569,Callithrix jacchus,jordani,M,48.11,22.07,26.60,15.38,14.80,16.01,
USNM 20745,Callithrix jacchus,,M,43.39,19.73,22.65,13.71,13.13,14.14,
USNM 503923,Callithrix jacchus,,M,44.21,20.60,23.99,13.70,14.73,15.27,
USNM 503900,Callithrix jacchus,,M,44.34,19.29,23.62,14.73,14.56,14.55,
USNM 503898,Callithrix jacchus,,M,43.32,20.40,24.81,13.45,13.47,14.59,
USNM 503886,Callithrix jacchus,,F,42.46,20.95,24.52,12.27,12.75,14.54,
USNM 399074,Callithrix jacchus,,F,43.15,20.15,23.96,12.58,14.18,14.25,
USNM 503924,Callithrix jacchus,,?,43.31,19.89,23.43,12.91,13.36,15.18,
USNM 503889,Callithrix jacchus,,M,44.20,20.66,23.06,12.97,13.47,15.09,
USNM 503896,Callithrix jacchus,,M,43.69,20.25,23.96,14.36,12.81,14.75,
USNM 503887,Callithrix jacchus,,F,42.40,20.27,22.43,12.84,13.12,14.43,
USNM 399075,Callithrix jacchus,,F,44.53,20.89,24.62,13.63,13.14,15.31,
USNM 503897,Callithrix jacchus,,M,44.27,20.58,23.84,13.51,14.01,14.62,
USNM 503899,Callithrix jacchus,,F,45.15,21.01,24.63,14.62,13.39,15.69,frontonasal suture partially obliterated
USNM 503895,Callithrix jacchus,,F,43.87,20.73,23.26,13.46,13.88,14.77,
USNM 518573,Callithrix penicillata,,M,46.56,20.81,25.10,14.41,14.65,15.87,
USNM 518575,Callithrix penicillata,,M,46.40,21.31,24.75,15.44,14.96,15.72,
USNM 19816,Callithrix penicillata,,M,42.38,20.23,21.90,13.51,13.02,14.42,frontonasal suture partially obliterated
USNM 518572,Callithrix penicillata,,F,48.21,21.74,24.00,16.46,16.87,16.25,
USNM 518559,Callithrix penicillata,,M,43.30,19.68,23.14,13.04,14.09,15.08,frontonasal suture partially obliterated
USNM 518566,Callithrix penicillata,,M,46.54,22.83,24.91,15.31,14.86,15.70,
USNM 518570,Callithrix penicillata,,F,47.68,21.45,25.56,15.57,14.87,15.75,
USNM 518571,Callithrix penicillata,,M,46.46,20.49,24.13,16.11,13.95,15.51,
USNM 518568,Callithrix penicillata,,F,46.00,21.45,24.57,14.69,14.76,15.12,
